	0 YEAR	1 YEAR	2 YEARS	3 YEARS	4 YEARS	5 YEARS	6 YEARS	7 YEARS	8 YEARS	9 YEARS	10 YEARS	11 YEARS	12 YEARS	13 YEARS	14 YEARS	15 YEARS	16 YEARS	17 YEARS	18 YEARS	19 YEARS	20 YEARS	21 YEARS	22 YEARS	23 YEARS	24 YEARS	25 YEARS	26 YEARS	27 YEARS	28 YEARS	29 YEARS	30 YEARS	31 YEARS	32 YEARS	33 YEARS	34 YEARS	35 YEARS	36 YEARS	37 YEARS	38 YEARS	39 YEARS	40 YEARS
O-6	$297.70	$297.70	$325.40	$345.67	$345.67	$345.67	$346.93	$346.93	$361.08	$361.08	$362.96	$362.96	$362.96	$362.96	$382.64	$382.64	$417.43	$417.43	$437.85	$437.85	$458.26	$458.26	$469.88	$469.88	$481.64	$481.64	$504.43	$504.43	$504.43	$504.43	$514.17	$514.17	$514.17	$514.17	$514.17	$514.17	$514.17	$514.17	$514.17	$514.17	$514.17
O-5	$250.95	$250.95	$280.58	$298.85	$302.29	$302.29	$313.70	$313.70	$320.50	$320.50	$335.50	$335.50	$346.53	$346.53	$360.76	$360.76	$382.48	$382.48	$392.84	$392.84	$403.08	$403.08	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70	$414.70
O-4	$218.81	$218.81	$250.66	$266.30	$269.75	$269.75	$284.24	$284.24	$299.79	$299.79	$319.17	$319.17	$334.21	$334.21	$344.69	$344.69	$350.70	$350.70	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17	$354.17
O-3	$194.39	$194.39	$218.14	$234.09	$253.75	$253.75	$265.13	$265.13	$277.60	$277.60	$285.64	$285.64	$298.89	$298.89	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82	$305.82
O-2	$170.23	$170.23	$191.56	$218.10	$224.91	$224.91	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18	$229.18
O-1	$149.95	$149.95	$155.40	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38	$184.38
O-3E	$0.00	$0.00	$0.00	$0.00	$253.75	$253.75	$265.13	$265.13	$277.60	$277.60	$285.64	$285.64	$298.89	$298.89	$310.09	$310.09	$316.51	$316.51	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26	$325.26
O-2E	$0.00	$0.00	$0.00	$0.00	$224.91	$224.91	$229.18	$229.18	$235.94	$235.94	$247.36	$247.36	$256.20	$256.20	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77	$262.77
O-1E	$0.00	$0.00	$0.00	$0.00	$184.38	$184.38	$195.75	$195.75	$202.38	$202.38	$209.15	$209.15	$215.79	$215.79	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91	$224.91
W-5	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$343.25	$343.25	$359.82	$359.82	$372.17	$372.17	$385.81	$385.81	$385.81	$385.81	$404.30	$404.30	$404.30	$404.30	$423.65	$423.65	$423.65	$423.65	$444.04	$444.04	$444.04
W-4	$200.35	$200.35	$214.23	$219.90	$225.48	$225.48	$235.10	$235.10	$244.61	$244.61	$254.24	$254.24	$268.70	$268.70	$281.40	$281.40	$293.48	$293.48	$303.39	$303.39	$313.04	$313.04	$327.19	$327.19	$338.83	$338.83	$352.10	$352.10	$352.10	$352.10	$358.79	$358.79	$358.79	$358.79	$358.79	$358.79	$358.79	$358.79	$358.79	$358.79	$358.79
