=== Rank: O-6 ===
- Year in Service: 0 YEAR, Daily Base Pay: $297.70
- Year in Service: 1 YEAR, Daily Base Pay: $297.70
- Year in Service: 2 YEARS, Daily Base Pay: $325.40
- Year in Service: 3 YEARS, Daily Base Pay: $345.67
- Year in Service: 4 YEARS, Daily Base Pay: $345.67
- Year in Service: 5 YEARS, Daily Base Pay: $345.67
- Year in Service: 6 YEARS, Daily Base Pay: $346.93
- Year in Service: 7 YEARS, Daily Base Pay: $346.93
- Year in Service: 8 YEARS, Daily Base Pay: $361.08
- Year in Service: 9 YEARS, Daily Base Pay: $361.08
- Year in Service: 10 YEARS, Daily Base Pay: $362.96
- Year in Service: 11 YEARS, Daily Base Pay: $362.96
- Year in Service: 12 YEARS, Daily Base Pay: $362.96
- Year in Service: 13 YEARS, Daily Base Pay: $362.96
- Year in Service: 14 YEARS, Daily Base Pay: $382.64
- Year in Service: 15 YEARS, Daily Base Pay: $382.64
- Year in Service: 16 YEARS, Daily Base Pay: $417.43
- Year in Service: 17 YEARS, Daily Base Pay: $417.43
- Year in Service: 18 YEARS, Daily Base Pay: $437.85
- Year in Service: 19 YEARS, Daily Base Pay: $437.85
- Year in Service: 20 YEARS, Daily Base Pay: $458.26
- Year in Service: 21 YEARS, Daily Base Pay: $458.26
- Year in Service: 22 YEARS, Daily Base Pay: $469.88
- Year in Service: 23 YEARS, Daily Base Pay: $469.88
- Year in Service: 24 YEARS, Daily Base Pay: $481.64
- Year in Service: 25 YEARS, Daily Base Pay: $481.64
- Year in Service: 26 YEARS, Daily Base Pay: $504.43
- Year in Service: 27 YEARS, Daily Base Pay: $504.43
- Year in Service: 28 YEARS, Daily Base Pay: $504.43
- Year in Service: 29 YEARS, Daily Base Pay: $504.43
- Year in Service: 30 YEARS, Daily Base Pay: $514.17
- Year in Service: 31 YEARS, Daily Base Pay: $514.17
- Year in Service: 32 YEARS, Daily Base Pay: $514.17
- Year in Service: 33 YEARS, Daily Base Pay: $514.17
- Year in Service: 34 YEARS, Daily Base Pay: $514.17
- Year in Service: 35 YEARS, Daily Base Pay: $514.17
- Year in Service: 36 YEARS, Daily Base Pay: $514.17
- Year in Service: 37 YEARS, Daily Base Pay: $514.17
- Year in Service: 38 YEARS, Daily Base Pay: $514.17
- Year in Service: 39 YEARS, Daily Base Pay: $514.17
- Year in Service: 40 YEARS, Daily Base Pay: $514.17
